sentence1;sentence2;similarity_score
MDR test un marant je deconne ;Go to the douch ! Oublie pas mes cours,,,;2.3288965225219727
Non du tout il me parle de son weekend a amsterdam .. Je lui avait deja parle quand ca allait pas mais bon j'ai pas envie de lui dire. Ca le regarde pas,,,;Demain Pote resto u ca te dit? 11h15.;2.1513493061065674
C un pyjama hahaha; 'EPlss me Orrnbent grv la 6ÃƒÆ’Ã‚ÂªFe enft' ;2.338823080062866
Okay nikel vs aurez manger ou on mange A+ ensemble a la maison?!;Aujoord'hui, j'ai un defi, manger poor 40 cts  !!!;1.9865286350250244
G une bonne nouvel pr twa!!! .et moi dailleur!;reste calmeetant donne que Je les travail voila Je pourraien la moitie Je t'aime;1.8770159482955933
Hello ! Bon je suis ready pr la brocante j'ai tout trie! C'est a kel h le rdv dja ?9 ;Je s uis ds l ' imps se;2.926297903060913
Merci toi aussi. Fais de beaux reves ;Gravvvvvvve ... Je devrais aller chez l'australien hahaha,,,;2.227080583572388
A pardon on est parti depuis au moins 30 min,,,;J'ai aussi des telsen carton...;2.49855637550354
Dis-moi... Que dirais-tu si tu voyais une mega ampli of the dead qui tue, pour apprendre que quelqu'un etait aussi con pour attaquer l'alimentation avec un ciseau?,,,;Parfait ! Assez romantique comme rendez vous hahaha,,,;2.2794580459594727
elle demandÃƒÆ’Ã‚Â© c aux no a pÃƒÆ’Ã‚Â´ autre si lo Apres;Arf ps vraiment... J'vais faire Osef ma grosse chieuse!;2.2210323810577397
Nn blague;Oh T'enerve pas la ! C'est juste que tu mange pas beaucoupet sa m'enerve ;3.8881289958953857
C est ki doit etre dsl!;vendredi fait c Au ta soirÃƒÆ’Ã‚Â©e?;1.894368290901184
fatiguÃƒÆ’Ã‚Â© suis de fou je;C Glander bizzare;2.500230550765991
s'psse bien lui Ca ?? avec;pr revis er pr la L3 a lors ca serait c ool que tu me r amene ca ce so ir ou da ns la s emaine o pire stp;2.2540745735168457
Merci ma belle bisous bisous ;T'as pris quels livres ?,,,;2.677356243133545
Mdrrr;legende telephone d'occas';3.234985113143921
Coucou, desolee j'ai vraiment pas pu me liberer pr cette semaine, j'avais trop de travail pour la fac! Par contre g 1 semaine de vacances ds 2semaines dc j'essaierai de venir a ce moment la! Ca va toi sinon? Ta bien fait la fete? Bisous! ;Ce samedi ?!?,,,;2.201035976409912
Yo mec,),,;Ton caniche est une grosse Merde,,,;2.6651690006256104
T'as fait quoi comme couleur aux ongles cette fois ?!?Moi suis au taf ... Trop de papier aujourd'huienferme dans le bureau ...Bisous ;En fait c bon il me reste assez de riz dt on peut preparer une bonne sauce tomate!!! ;1.9108498096466064
aye on est chez moi, manque plus que toi etAnon,,,;je meme lol la deg moi Putain suis de;3.7694554328918457
un niaiserie je s'est reve plein ? qui de ou OH part Et calin glissÃƒÆ’Ã‚Â© quelque y'a;Anon (j ai tout de memeen ma possession tes parapluies de Cherbourg), on se voit quand tu veux. ;1.6723206043243408
Jdr mon bulletin les profs se repetent a peine : je les met pas tous mais je te met ce que les profs ont mis tous pareil (pas tres francaus comme phrase mais tant pis )  port : eleve serieuseHistoire : travail serieuxMaths : travail serieuxPhilo : travail serieuxEconomie : travail serieuxLol,,,;qui cc vou qui allez a la montpellier le dmin bisous';2.422357082366944
Abaisse B-) ;C pas forcement super passionnant pr d autres en fait. Je connais pratiquement tte sa vie mtnt,,,;3.851149320602417
des end qui week pssÃƒÆ’Ã‚Â© viennent canadiens ya le;Ok j'arrive. Avec la chance qu'on a ces derniers jrs (clefs, cambriolageetc vols attrapesetc) j'espere que je suis dans un bon jr que j'ai oublie ma carte lol;2.8092620372772217
What what ?  !!;Lol jy connais rien! Jirai voir sur mappy apr es master chef. Trop bo mec dailleurs,,,;2.4216949939727783
G.A: when it hurts so much you can't breathe: that's how you survive. ;Faut manger un peu aussi ... Lol,,,;3.222251415252685
"Tte ÃƒÆ’Ã‚Â  l ' he ure le ga min que je gar de m ' a tra itÃƒÆ’Ã‚Â©e de "" gro sse "" pr me fa ire du mal car je les envoy ais au lit.";psz Elle veus;1.8717070817947388
Bonne YOU'RE MY HEART YOU'RE MY SOUL a  toi, vieille pute !,,,;Ouai ouai c'est ce qu'on dis, c'est bien dans les bois ?!,,,;2.317880153656006
Mec C sur que t un gd malade lol;Les pistaches pas salees.,,,;2.1848695278167725
J'dirais a  mes potes de mettre les photos sur fb direct s'tu veux, ils ont des telephones de geeks,,,;Demain soir je mange chez mon cousin et sa copine ! Argh j'voudrais juste hiberner ou me casser. J'ai pas sommeil j'vais deceder. Bonne nuit poulette. Love,,,;2.3903145790100098
Oui, ilsetaientexcellents ! ;Tomate farcie! ;2.8379647731781006
"""a plein de nos choses que j ' ai des ps dites temps a toi travers ou qqn revue d ' etudes autre du groupe""";Ya moyen que tu mramene un staps stp?;2.092238426208496
type jÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ai envie de chier;Non. Me rappelle pas ;2.848228693008423
fait le pr deconner c'est;C ' fi ni vien la cherc her;2.6637113094329834
Ta wsh pris les clees ?;pour hello. nos bisous. nos commem Ã¢â‚¬â„¢ s Ã¢â‚¬â„¢ psse noel que cet annee.';1.9813332557678225
C'etait sympa.  ,,,;Ok je transmet le message mais lesexo de maths ne sont pas difficiles.travaille bien alorset bonne nuit ;3.87710165977478
Cool  etAnon est pas dans l'coin par hasard?,,,;est bon comme ca on va skier sans moi?;2.7074859142303467
  je compatis tellement pour le destinataire  ;Purre c'etait grave quand meme,,,;2.691263198852539
o uai ÃƒÆ’Ã‚Â§a va maintnant on est bi en in stalÃƒÆ’Ã‚Â©;Tjr;2.785837173461914
Mercredi prochain on va manger un tacos!  !!;Entre celles qui veulent se faire baiseret celles qui ne savent pas bce quelles veulent quelles ail voir ailleurs;2.1088972091674805
Mdrrr sa me rendrei unenorm servic jte jur ;Oui puis, si onetait monstrueuses, pourquoi on aurait uneemprise comme ca sur les geeks (et autres) ? Mdrr non mais ;3.678453207015991
Ok pr moi Blc c pareil.;Bonetat d'esprit!! Mais tu pourraisetre un peu plus content que ca tu crois pas!! ;1.963362693786621
ton plan c Sinn ? quoi;Ca permettrait de voir toos le filmet de faire une grosse soiree poor cloturer ca !  !!!;2.300143957138061
si mais tu vois. jetaisen vacances alors ils se sont regale. mais je vais fr celle qui sait pas que je dois yetreet jvais fr mon caprice   ;remerciement :};1.9961705207824707
Merci elle s'endort. Bonnuit,,,;et si je comprends ce que tu dire pttr qu'elle a ps changÃƒÆ’Ã‚Â© mais que moi si;2.926080703735352
Tkt tie pour rien bisous bisous ;Ouais troop! Mais a la recrer ons 'est dispiter ,,,;2.0929572582244877
Non, j'avais pas mon tel (oui oui, c'est possible mdr). Papa caresse le chat d'ailleurs maintenant..! C'est l'esprit de noa<<l ! Bon ca va sis' ? Moi l'assurance m'a arnaque  mais j'ai amene mon pc a  reparer, je r egle mes pbs petits a  petits lol,,,;trop  bah j'ai pas pus y aller vendredi donc je suis grave en manque la !,,,;2.108595132827759
"""a je me mourrais avant d ' un avoir tt ce fait que c sur '""";Yo jsuis dans le train qu'est que tu me veux connard ?;1.7961713075637815
Oui mais ta m ere.....,,,;Hehe. Alorseuh.. on peut passer l'aprem de vendrediensemble ainsi tu veux;2.7230453491210938
Jz doit pas partir! ;Ptdr sa marche jte fais confiance,) venez habiller quand maÃƒâ€šÃ‚Âªme  ,,;2.503903150558472
Universite ouais ! ;Coucou sa va? Jai essaye de vous tel hier soir mais personne. Bon le we s est bien passe, maman me parait mieux, et a  fond dans la fac et les revisions! Tu sais que escagasser est rentre dans le dictionnaire l annee derni ere! Demain soir je commence mon 1e jour de pizzayalo! Bisous,,,;3.855111837387085
elle sera partie mselle dormira la demain par contre apres vert anglais mselle pas tard le lendemain!;Jecout du zouk mdrrr,,,;2.7070271968841557
Tu arrives quand ?,,,;Taaaaaime,,,;2.970747947692871
. voulÃƒÆ’Ã‚Â© vs vs ÃƒÆ’Ã‚Â©tÃƒÆ’Ã‚Â© cas vu l kan apart En nikel revenez cmt tt;Et les ipod ? Et les sous-marques genre a  darty ou quoi ? Sur cdiscount y a quoi comme baladeurs?,,,;2.0908212661743164
aa yest jsui arrivee chez moi . et toi kes tu fais ? Praat pr le code ? ;Ne t'affole pas onest tousen bas viens quand tu ceux ;2.166414976119995
tu marque un CÃƒÆ’Ã‚Â© que la point ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ vrÃƒÆ’Ã‚Â©;Trop tot ?,,,;3.2108280658721924
Lei zange ;G tai oubliÃƒÆ’Ã‚Â© merde;2.9394209384918213
"Euh non rien de +.et oui sympaentre les gribouillageset les trous  "" ";Il a essaye de t'apele sur ton telephone,,,;2.1670596599578857
La de suite ca serait en mode touriste supreme ms y travailler dÃƒÆ’Ã‚Â©rangerait ps;ok ah mister dommage ms cool!';1.7333282232284546
Okay.Bon shopping.Avant je faisais comme toi. J'allais regarder les trucset tout, je restais a  a  fnac. Je faisais cela que pour l'informatique.Mais maintenant j'aime.Enfin pour prospecter.J'ai prevu d'aller a  boulanger pour quelquesequipementset desfois aussi je regarde rue du commerce c'est un site.Je ne sais pas si tu connais.J allais aussi sur C discount.J'y ai meme un compte.Une fois j'ai fait une folie.J'ai achete une mini-parabole a  30euros.Jamais pu l'utiliser.En quittant Montpellier je j'ai donner. ;Ben math on prend cher aussietenespagnol tesen bachibac donc cest normal noos aussi ce qui sonten OIB ils sont surchargeeset moi le foot rien...  !!!;1.977790355682373
Le tps que Patrick rep g Xptdr rien pris j'lui cherchais un rtuc au pssage;Haruki murakami...,,,;2.439882755279541
"Aha non je me plains pas. J'ai pueu pastoeten plus je suis que j'ai des bequilles . T'inquiete. Ah ouais je vois... Mais moi c'est pas ca qui m'enempechera ! Ouiielles vont ""tres mieux"" merci. Plus que 1semaineet 2jours ! Aha mais c'estelle qui repond pas. Dis lui la meme chose de ma part";! J'suis desolee Anon. Je langis de te voir !,,,;1.8778473138809204
Eh prof d'espagnolelle s'appelleAnon lol;Je sors de chez kine. Du coup tu veux plus aller ou tu veux faire quoi ? dois repasser a laen plus j'imagine ?;1.8350539207458496
Or! Pauv re ti c hou d ' am our!;J'ai Skyrim ! Haaan !,,,;2.033742427825928
Au final j'ai dormi 7het j'ai des cernes quand ! ca soule cette photo, je deteste ca.PourAnon ok je lui parlerai pas alors,Bonne journee;On;2.6383984088897705
Un chat qui dort au pied du lit ca fait tellement du bien mdrl.. ;Je fin is kelkec hose c hez moi aprÃƒÆ’Ã‚Â¨s me pr ÃƒÆ’Ã‚Â©pare et j ' y vais;2.573161125183105
je suis fatiguÃƒÆ’Ã‚Â© fou;E nfait c i m essage que tu r ecoi ps ahhhhhhh;2.48626446723938
Ã‚Â· ah... oue explique';Bah o uai et toi ta ps trou ve de mec ou t ' est ps en ki ff sur qqn?;1.9826345443725584
Siting desole mdrrr t9...;Du coup je vais passer vers midi une heure ca le fait ? ;2.6815686225891118
IIIl raaaacooontee eencoooree nptq ÃƒÆ’Ã‚Â§aaa m' caaaassee lees cooouuuuiiiilleeees;He Kiffer ouiiiii;3.005165338516236
Anonet Anon Mon phone ne recevait pas les messages  !!;Commercial pour k par k avec des pure conditions de salaire et tout,,,;1.9459433555603027
Oui Je t en voudrai moins. Seulement si tu me dira . J aimerai juste savoir . Je vais pas juge ou quoi Je repondrai d un simple D'accord. Psk Je finit par tout te dire moi, et Jte repond pas beh pense ske tu veux, a  la place jte le dit . Tu veux reflechir seul , bien sur c'est ton choix . Mais j aimerai savoir quoi exactement sans pour autant y mettre mon grain de sel Je t'aime,,,;Mais c'est lui qui a dit ca !!!! Moi j'ai pas dit ca !!! J'ai tente de te rattraper ! Je vends pas les produitsen donnant les defauts,-) ;2.344316244125366
faiw tres beau;Pf fffff je su is t jrsla bas! C ' est a p erpette;3.8764355182647705
Alors vas-tu finirAnon aujourd'hui?  ;ca te msoule le bien mec pas il est met ce 10h mais je ce pensais ps que c travers etait un ce aussi pas gros travail!!';1.594953536987305
Euh non. Asos n'est pas une marque de sport,,,;Apres la litte, je rentreet je dors franchement ;3.829364538192749
why t as much check on ton facebook?!';Cool tu ve rras c 1 000fois meill eur que macdo!;1.743006944656372
Ta une touche ;Je suis en cours actuellement,,,;3.552974939346313
Le nouveau ubuntu envoie,,,;Je pars!,,,;3.209132194519043
Coucou!!! ps trop manger la Chelou poussiÃƒÆ’Ã‚Â¨re hier ?;Mdr bon app' a tte !!;1.8686401844024656
Demain je te rejoin au club a 14het n'oublie pas le autorisation a Anonet tes papier que je doit donner grufgruf haha;Bwah c'est que la premi ere page, c'qui est 'dra,le'. Les explications ca va etre autre chose....,,,;1.9206331968307493
Mdr ok   bon app' a tte !! ;Hmm.. Sympa l'ambiance dis dc. Mais le cpe et tt ont du halluciner ??,,,;1.8389430046081543
Tout a  fait!,,,;En arabe j'connais les classiques : wallah, inshallah, mashaallah, kif, n'brick, zarma... Mdr. Encore que mashallah j'ai jamais bien trop compris, y a trop de sens,,,;3.889951944351196
Chepa ;Bah c'est un peu moi qui lai proposeen premier mais BON ;3.862204790115357
On fait que de m'appeller car Maman a mis mon numero ! ;Evidemment, tu veux quoi ?,,,;2.2477474212646484
J'sors au curry la  j'arrive ;Oui normalement ;2.760976552963257
cÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢est ps Dsl con;La reprise de salsa ? Oui c'etaa!t cool, ca fait du bien de revoir les bases ! Jespere que tu viendras aussi jeudi,,,;2.6144778728485107
Mm ton tel supporte l'om mdr,,,;Je sa is ps car pr le m oment mon empl oi du tps n ' est ps dÃƒÆ’Ã‚Â©fin itif;3.867448329925537
Nn mtpl? Ah Ok va dormi pue a mal tu ...;Oua iiiii ca change de lautre puta in de m erde de connard de t elephone pourri;2.026512622833252
les ailleurs... de Ou Arf' place ya sinon de voir essaie la si tape;Tu f ais ch ier c ' ÃƒÆ’Ã‚Â©tait pr m ettre du parf um. .. Gra tos ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦;3.13226056098938
l'impsse ds suis Je;"""ya la conne de ne steph que ki le m ' est a ne dit ferme la""";3.881754159927368
"Non non du tout.en meme temps c'est pasevident par sms, y'a pas le ton de la voix ;) ";H aaaa! M ais je rentre ce we m ais jprrai ps l ' a voir ha ha;2.101698875427246
Je serai j pense chezmamie;Nan je dors ps dÃƒÆ’Ã‚Â©solÃƒÆ’Ã‚Â©e j'ai ps trop parlÃƒÆ’Ã‚Â© ce soir j.me pris suis la tete avec Osef OcÃƒÆ’Ã‚Â©ane au tel...;3.872944831848145
A t jenti mn petit,,,;Dsl Emboucaner ca veut dire jore quelqu'un qui chauffe/cherche la merde ÃƒÆ’Ã‚Â  quelqu'un d'autre.;3.150675773620605
C'est perpette je a suis Pffffff ! tjrsla bas;Ooooh!! Super!!! Je suis trop contente=DD!!!!,,,;2.052971601486206
Ton messages que tu a fait a  ton mecest bien ;"Tu m'asenvoye un message comportant seulement la lettre ""Q"". J'avoue ne pas avoir bien compris. a%0tait-ce un code, uneerreur ? ";2.011333465576172
attend fin avant de rep;Genre vs textotez des que vs etes en ville;3.733598947525024
Hey, si on veut voir un monstre a Paris, c'est forcementen 3D demainen fin de journee ouen soiree. Avec meme on propose de se faire un macdo puisque le Monopoly is back ! Tues partante ? ;ÃƒÆ’Ã‚Â©couteurs mes manip je branchais de Erreur;2.3062503337860107
Hein ? J'ai pas compris   ;ta ÃƒÆ’Ã‚Â©tat soeur d'esprit demain? quel l'arrivÃƒÆ’Ã‚Â©e bref de pr bref;3.894033193588257
La prise casser;ah whesh!';3.026542901992798
C'est bon avecAnon on rentre quand tu pars  il a la twingo ;Peur ?? Mdr carrement ;3.5595428943634038
Oui! Mon homme a pas le moral il veut demissionner ;Coocoo toi !Comment ca  va ?!? Pas de noovelles , bonnes noovelles ... LolL'ecole se passe bien ?!? Tu continues les gardes sur balaruc ?!?Bisoos , bisoos  !!;2.3112518787384038
Jaienvie de voir, vas y reessaie stp! ;Ha c'est jeune d'aujourd'hui mdr moins j'en fait mieux je me porte lol,,,;2.0743660926818848
Elle l'a pris avec elle! Et tout le monde essaie, ca marche pas. Comprend pas, tant pis,,,;Thanks,,,;2.923311233520508
Coucou juste un petit mot pour te dire que je pense a toiet que tu peux venir faire une seance de reflexologie ou de massage quand tu at aurasenvie. Des bises tout plein.Anon;Ben oui pourquoi?,,,;2.431597948074341
