sentence1;sentence2;similarity_score
Ahhhhhhh marre de tout louper !!;Ras l'bol ;3
on se tient o Ju soit pr demain soit ds la semaine bisous jtm ; Au fait vs êtes sortis hier ct bien ?;0
Como va ?; Cv ? ;5
Nn san blague;déconne pas ;4
Eh oh la dedans;Cc ici ;3
sa a aucin interet; c pas la peine ;3
C'est trop de la bite ;ca déchire ;3
Kikoulol; slt ;5
et ya du monde? ; C bondé ? ;5
 vs avez fini ou pas? ;C bon ? ;3
T es trop une botch ! ;Meuf ta francais demain ?;0
Kes ke vs faites ?;Vous glandez quoi ? ;4
Zetes ou?;Vs etes où ? ;5
 Mais te prend pas la tête!;Sois trql t'embrouille ps ;3
 c'est nul ; c pas terrible ;3
Attention a ce ke tu dis; fais belec à tes mo ;4
Kikou ; Cc;5
Oui ca va impec;j pète la forme ;4
Moi pas de reveil ; Moi je le regarde tt le temps;0
 mais je part pas en delire ; j'fais pas nptq après ;3
C tjs le bordel ;C de la bouillabaise ;3
jmen tape; j'men fou ;3
6 j'epux; si j'peux ;5
 j'ai pas trop aime comment tu as fais avc elle;c'est juste qu'elle a fait la belle ;0
je look largo winch ;j'mate largo winch ;4
pg ;ps grv ;5
jtourne au cachet de taurine;g tourne  a lenergisant ;3
moi jrecommence a 13h15 juska 15 ;balance moi ta play ;0
Les inscriptions c est jusko 19;Mais du cou la rentree est passee;0
C etait or orendre de vos nouvelles;Ct pr prendre d vs nouvelles ;5
C etait ; Ct;5
jte montre; jte flash ;5
ya moyen ktu vienne sur skype?;ramen tw sur Skype ;3
Ton msg ma trop fais plaisir ;j’ai vrmt kiffe ton msg ;4
t es oouuuu? ; t ou ? ;5
tu les a pris ou?;t sors ça  d ou ?;4
tu fesai le bad boy ta vu! ;fallait ps trop la ramener ;3
J ADORE ta foto de profile!!!! ;j kiff ta foto de profile ;4
Dsl jsuis en mode speed;g pas l temps ;3
faut qu on svoit;faut qu on s capte ;4
Tintiet;tkt ;5
demain je tel;jtapel demain ;4
Jsuis en vac aussi!!;g aussi fini ls cours;4
dnc tu travail bientot? ;t commence à taffer bientot ? ;4
à dems;à demain;5
dem1 ;demain ;5
 jai mille truc a faore; g suis  deborde de ouf;3
Jv en ville avc les potes ;Jtapel apres les simpson;0
Yep!;Oe ;5
quand tu es en cuisine tu réponds illico presto! ;Je peux pas g un autre chef qui me voit;0
Je veux partir roadtripé aux usa!;Je veux voyagé ds tte l'australie;0
Je mourrais avant d'avoir tout fait c sur' ;J'vais clamser avt tt ça ;4
g l'impression que tu me parles que par interet; g pense k tu m leches les bottes;3
G pas envie de polémiquer sur ca par tel;J vx pas en causer au tel ;3
 ta kwa today ?;c quoi tes plans ojd ? ;3
g pas a poser d congés com ca !;ferai jamais vraiment ce que g envie de faire;0
Jvais au bahut  et toi ? ;Ta cour dans kelle salle?;0
Je suis ds l'impasse; j suis dans la merde ;3
Thabite ou ?;C où ktu crèches ? ;4
ttl ;tte a l heure ;5
 je vais dodo; j'vais pioncer ;4
T pas net ;T bizzare ;4
mais g eu ton message qu apres ;G pas vite vu tn msg ;3
Les gds esprits se rencontrent! ; On c compris ;3
G un nouvo port;G un nouvo bateau ;0
Toujours pas de relation plus ; T tjrs celib ? ;3
Y'a pas que moi qui doit foncer ;jvy vais;0
Naze va; S'pèce de folle!;2
Fait ta physique au lieu de SMS  ;Taff au lieu d coser ;2
quequette;bite ;2
Ouais ça marche ;sa roule ;3
 laisse betom ;ltb;5
T'as beaucoup de boulot pour ce we ci?; t'as bcp d taff ce weekend ci ? ;3
 bouuuuge;gaaaaaaagne;0
Positif?!! Mdr ;D'la merde ;0
Daccordèon ;Dac;5
y'a une nana qui vient d'arriver;Y'a une meuf qui vient de s'pointer ;4
Il faut dire quoi deja?;keski fo raconter ? ;3
tfais comme tu sens ;fais ske tu vx;3
Tpeux m'appeler man stp! ;tu m tel stp ? ;3
Explique purée !; azy  raconte ;3
Moui ;Ouai;5
mais t emballes pas trop hein;crois ps qu c gagné ;3
mais qu est ce que vs faites??????? ;keske vs foutez ????;4
 Bizzzz! ; bisou;5
Tu peux me laisser kiffer tranquille stp? ;Fous moi la paix stp ;3
suis deg pour toi ; pr moi nickel;0
Tu me pourris mon groove! ;Tu bouzille l'ambiance;3
suis deg pour toi;g mal pr tw;4
J'en ai marre;j'en ai ma claque ;4
Ouais ça me gave ;J'en ai marre;4
Je suis avec ma fratrie;j'suis avc ms reufs ;4
 j ;j me ss enguelé avc Océane ;4
 jsuis assise sur mon canapee ;Non ya que des douches;0
 tu m'as pliée la!;Tu ma eu ;4
j'ai zappe ;g oublie ;4
Ouaip ; oue ;5
Pas trop manger la poussière hier ?;pas deg d'avoir mordu la poussière ? ;3
les pubs de drogue font peur ;les ghettos m foutent les jetons ;4
Jvais me demerder ; jvais me debrouiller ;4
Trop trop chiant ce cours;barbant ce cours ;4
j'vais lui répéter;j'vais cafter ;4
J'tai ramené les clopes au fait !;Je suis pas une connasse aigrie !;0
G tai oublié ;j tai zappé ;4
dis moi juste a kel heure t'arrive ;tien moi o courant de kan tu debarques ;4
ouep ;ouais ;5
Bonne am ;bonne aprem;5
ba oui mais qu il se plaigne pas alors ;qu'il ferme sa gueule alors ;4
POUR KOU WAAAH ?;pq ?;5
 love sur toi;jtm ;4
Je ss en robe sans collants; mon cul c'est un igloo ;3
grs becot ;gros bisou;5
we;weekend ;5
bz;biz ;5
cb ;cmb1;5
vdm;vie d'merde;5
ntm; nik ta mere ;5
xlt;slt ;5
r ;r1 ;5
jlé; j'lai ;5
mnt; mtnt ;5
mnt ;maintenan ;5
osi ;ausi ;5
keskec ;keske c;5
kw;kwa;5
kw;koi;5
ckw ; c koi ;5
expdr ;ptdr;5
ptdr;mdr ;5
qq1;qlq'un ;5
qqc;qlq ch;5
raf; r a foutre ;5
tjs ;tjrs;5
tlm;tt l'monde;5
qdn;quoi d'neuf ;5
koi d'9;quoi d'neuf ;5
kw d'neuf ;quoi d'neuf ;5
entk; entc ;5
entk ;en tt cas;5
ntc ;entc ;5
a12c4; a 1 d'ces 4 ;5
a2m1; a 2main;5
cki;c ki ;5
cki;c qui;5
mci ;mrci ;5
6né; cine ;5
bi1to;biento;5
kekina ;keskiya ;5
kestufé; t'fais kw ;5
GT ché L; j'tais che el ;4
 cpab1;c pas bien;5
adm ;a2m1;5
ta éT voir koi o 6né;t'as ete voir kw o cine ;4
tu vi1 7 aprem; tu t'pointes cet am ? ;4
j suis ;j ss ;5
j suis ;g ss ;5
bz;niquer;5
Pitetre;ptetre ;5
Ye se pa;jsp ;5
Mais ta goule;Ms tgl ;4
T la ds cmd de tps ?;T la ds cb d tps ?;4
j'suis peinarde;j'suis trql ;4
g faim ;on creve la dalle;4
Je pige quedal ;g comprend r;4
Tapé et toi ? ;Crevé etw ? ;4
et tw;etw;5
pq tu m apl pas ?;pk tu m'tel ap ? ;4
Tu mrecup;Tu m'fais chier;0
Bouratchone ;conne ;2
qu'ils ne viennent pas nous faire ch ;kils vienne ps ns fr chier ;4
c mn truc les chinois;c ma cam les chinois ;4
ten as marre de pas bouger; t en a ta claque d fr du sur place;4
c bon ;c ok ;5
Te prete?;t as  fini ? ;5
Oki douki;okidokie ;5
Zè oublié;g oublié ;5
 Qu'il aille embeter qq1 d'autre ;Kil aille faire chier qqun d otre ;4
te ou? ;T ou ? ;5
enplsu;en +;4
il a l'air sympatoch ;il a lair cool ;4
hé c ke c pas fcile;g sais k c ps facile ;4
dc vs avez fais koi de plus;dc vs avez fé kw de + ;4
kes tfai;tfk ;5
Tme Mank;tu m'manques ;4
 pblm ;pb ;5
le tps;l'temps;5
C ok pr moi;g suis dacc ;4
Cmt ;commen ;5
blablateuse ;tu piailles tro ;3
il trouve largent où ? ;D'où il tire son oseille ? ;4
Le condo est ferme;le bahut est ferme ;3
jétais dans les vap lol ;g dormais ;3
Lol g telechargé le truc;jte donne tt samedi;0
Bon anniiiiiv ; bon anniv ;5
Je t'adoore ;g t'adr;5
Bordel ;putain;3
Bises;biz ;5
Suceur; lèche botte ;4
ojordhui ;ojd;5
dmain;demain;5
2m1;demai ;5
2main ;2m1 ;5
jsuis crevé;g suis claqué ;4
jlai apelé hier il ma rien di;G telechrgé viber;0
Le botch de mdf !;C bon g redemarré mon tel;0
G telechrgé viber;g redemarré mn tel;0
alr;alor;5
je viens de recevoit ton txt;g viens d'recevoir tn msg ;4
Vient m cherché;Tu bosse today?;0
Jai peur;g la trouille;4
jms;jamai;5
J'suis trop une meuf déjà upv;j suis une tepu ;2
suì fatiguè;g ss off;4
tu me mank tro;t'me mank bcp;5
J'ai rien chez moi ;g r ché mw;5
jv;j'vais;5
le ga à mon adresse ;il sait où g crèche;3
jpe;g peux;5
jpe fr genre gt en cours;tu peux tjr passer boire un kawa;0
Cété;ct;5
t un gd malade ;t un detraqué;4
il m a fait un smak;i ma fé un bizou ;3
Sois pas deeeg;sois pas deg ;5
Mitooo;michto;5
t es cinglé;t pas bien ds ta tete ;4
T arivè?; t là ? ;3
ya des place pr sgarer;ya ps d'parking;2
On nè part;on a bougé;3
c kia pas eu d autre blessè; tlm va b1 ;2
Tavai raison;Ct ta prof?;0
ap;après;5
je pensai que tu te moquai de moi ;j pensai ktu te foutai de mw ;4
Bisouxxx;bisou;5
je veux pas faire la queuee solo;j ve pas m'taper la queue tt seul ;3
Dacodac;dac ;5
J'ai que dal;jai r ;5
Attend jle fais de suite!!;Bonne muscu mn cheri!!;0
bebou;bb;5
Bebou de moi;mn cheri ;5
tp;tro;5
c'est pas tp tp long;c court;4
Je t'aaaaaaime ;jtm ;5
Jtai dmande quaaaand;Ttes les vacs;0
Jc pas;jsp;5
s'tu veux;stv;5
ajd;ojd;5
Ben alr on sèche délinquante?!;Qd t à la téci tu m'dis;0
Ms bon g foutu ts mes cours ce jour la du cou ;g assure ms cours c jr la ;1
d'acc';dac;5
Ok deso bin on ce voit;dsl on s'capte ;3
Tu m laisse plus d msg sur mn mur;T as rep quoi sur facebook ?;0
non dsl g l exam;T fort qd meme;0
Ta plus un rond;t fauché ;4
 tu peu vnir ou pas;tu t'pointes ou nan? ;4
C'pas drole;c pas marrant;4
bizoux;bisou;5
merci d t soucier;mrci d tinkieter;4
mrci;m6;5
moi jdefonce tout;jnique tt;4
Attend de voir si g les sous;Att g vois si g d'loseille;4
G rien dit;G rien fait;0
mouaif;ouai;5
c'est bon se truk;c deg;0
t en train decrir c trop cool;Trop bon faut le fr;0
Jdr cette vdm;Jdr 7 vie ;3
Kel eur;kel h;5
en ts k merci kan mm pr l invit ';g serai al;2
ts;tt;5
Y a trop d'monde;c bondé ;4
minute papillon;Att;4
Ta pas une clope? ;t a ps un flingue ;0
boude pas;fais ps la gueule ;4
Att que se soit fini tva voir;att mw;3
Feignasse;glandeuse ;4
gava ;bro;5
bro;reuf;5
prquoi;pq;5
